name,businessType,participationTime,positions,skills,employmentTypes,yearLevels,logo
ควอนเทียม เทคโนโลยี,ให้คำปรึกษาทางด้านซอฟต์แวร์,เวลา 9:30 - 17:00 น. (เต็มวัน),Software Developer; DevOps,สื่อสารภาษาอังกฤษได้; มีทักษะ C# หรือ TypeScript จะพิจารณาเป็นพิเศษ,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
"1Moby Co.,Ltd",Software House,เวลา 9:30 - 17:00 น. (เต็มวัน),Fullstack Developer; QA Tester,,พนักงานเต็มเวลา (full-time),4,
บริษัท ยานนิกซ์ จำกัด,ให้บริการด้าน visual effect ให้กับภาพยนตร์ Hollywood,เวลา 9:30 - 17:00 น. (เต็มวัน),Software Developer; 3d motion tracking,มี logic; basic programing,พนักงานเต็มเวลา (full-time); พนักงานไม่เต็มเวลา (part-time); นิสิตฝึกงาน (intern),3,
บริษัท ไอโคเน็กซ์ จำกัด,บริษัท software house องค์กร | พัฒนาซอฟท์แวร์,09:00 - 16:00 น.,Junior Software Developer,Java; C# .Net,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),3,
"C.J. Express Group Co., Ltd",ค้าปลีก,9:30 - 15:00 น.,Software Engineer; Test Engineer; Data Engineer; Cybersecurity Engineer,Goland; React; JavaScript; TypeScript; API; MongoDB; Python,พนักงานเต็มเวลา (full-time),4,
The Red Carbon,Data-driven Marketing Consultant,เวลา 9:30 - 17:00 น. (เต็มวัน),Data Scientist; Data Analyst; Data Engineer; Software dev,,พนักงานเต็มเวลา (full-time); พนักงานไม่เต็มเวลา (part-time); พนักงานอาชีพอิสระ (freelancer); นิสิตฝึกงาน (intern),2,
บริษัท อักษรเจริญทัศน์ อจท. จำกัด,"นวัตกรรมด้านการศึกษา พัฒนาสื่อการเรียนการสอนครบวงจร ทั้งในรูปแบบหนังสือเรียน และสื่อดิจิทัล เช่น e-book, วิดีโอ, แอนิเมชัน 3 มิติ และแพลตฟอร์มการเรียนรู้ออนไลน์",เวลา 9:30 - 17:00 น. (เต็มวัน),Sr. System Analyst; Sr. Frontend Developer (Web React); Sr. iOS Developer (Switf); Product Owner; Software Developer,React.js; JavaScript; TypeScript; GreenSock; Animation; Platform (GSAP); Next.js; Golang,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
Sunday Ins.,"Technology Development (Platform, web, application)",เวลา 9:30 - 17:00 น. (เต็มวัน),Position : Software Engineer [Full-stack],-JavaScript; TypeScript,นิสิตฝึกงาน (intern),4,
บริษัท เอ็ม เอฟ อี ซี จำกัด(มหาชน),"System Integrator ให้บริการทางด้านไอทีโซลูชั่น : Security , Data , Cloud , Hybrid Infra , AI , ESG",เวลา 9:30 - 17:00 น. (เต็มวัน),Full-Stack; Developer; Data and AI apply engineer; IoT; Software Engineer,Low-code; Java; C; Python,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),2,
SCB TechX,Tech Company,เวลา 9:30 - 17:00 น. (เต็มวัน),Back-end Dev; Site Reliability Engineer,Java; Golang,พนักงานเต็มเวลา (full-time),1,
 บริษัท ไอทีวัน จำกัด,Technology Consulting ,เวลา 9:30 - 17:00 น. (เต็มวัน),SAP Consultant; SAP Support; Business Analyst; Software Developer; Internship,Java; Angular; .NET; Good command of English is preferred,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
ธนาคารกรุงเทพ จำกัด (มหาชน),สถาบันการเงิน,เวลา 9:30 - 17:00 น. (เต็มวัน),Programmer/Software Engineer/Integration Developer; Data (Engineer / Analyst / Scientist); IT Support; Cyber Security; IT Audit; Business Analyst; System Engineer,,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),3,
KASIKORN Business-Technology Group [KBTG],พัฒนา software เครือธนาคารกสิกร ,เวลา 9:30 - 17:00 น. (เต็มวัน),Front-end web developer; Mobile app developer; Data scientist,ภาษาอังกฤษมีบ้าง; ทักษะการเขียนภาษา เฉพาะบางตำแหน่งที่จะต้องใช้ ควรจะมีสกิลบ้างนิดหน่อย,นิสิตฝึกงาน (intern),3,
บริษัท โมทีฟ เทคโนโลยี จำกัด (มหาชน) ,ที่ปรึกษาและออกแบบระบบเครือข่ายและพัฒนาโปรแกรมคอมพิวเตอร์,เวลา 9:30 - 17:00 น. (เต็มวัน),Software Engineer ;Mobile app developer ;System Analyst ; System Engineer,,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
"Codefin Co., Ltd.",บริการรับทำแอพพลิเคชั่นด้านการเงิน การลงทุน ออกแบบแอพลิเคชั่น,9.00-15.00,Software Engineer (Golang); Mobile Developer (Flutter); Business,Golang (Gin; echo. fiber; ...); react native; flutter มี Macbook เป็นของตนเอง (สำหรับฝึกงาน),พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),3,
"Nextwave (Thailand) Co., Ltd.",Distributor Cybersecurity,เวลา 9:30 - 17:00 น. (เต็มวัน),Cybersecurity Engineer,สามารถสื่อสารภาษาอังกฤษได้อย่างคล่องแคล่ว และมีความรู้พื้นฐานด้าน Network,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
บริษัท สามารถเทลคอม จำกัด (มหาชน),"กลุ่มธุรกิจ ICT (Information and Communication Technology) โดยมีลักษณะงานหลักครอบคลุมทั้ง ด้านระบบสื่อสาร, ระบบโครงสร้างพื้นฐาน, ระบบเทคโนโลยีสารสนเทศ และบริการหลังการขายแบบครบวงจร",เวลา 9:30 - 17:00 น. (เต็มวัน),Programmer; Cyber Security Responder; SAP Consultant,,พนักงานเต็มเวลา (full-time); นิสิตฝึกงาน (intern),4,
